Orgao Julgador;Justiça;Tribunal;Grau;PCA_AP_G;TSNE_AP_G;PCA;PCA_FF;TSNE_FF;TSNE
2� vara regional de mangabeira - tjpb;Estadual;TJPB;G1;0;1;0;;;1
2? vara de fam?lia e de ?rf?os e sucess?es do parano? - tjdft;Estadual;TJDFT;G1;0;1;0;;;1
2ª vara da comarca de acarau - tjce;Estadual;TJCE;G1;0;1;0;;;1
2ª vara da família da comarca de blumenau - tjsc;Estadual;TJSC;G1;0;1;0;;;1
2ª vara da família, idoso, órfãos e sucessões da comarca de chapecó - tjsc;Estadual;TJSC;G1;0;1;0;;;1
fazenda publica de araraquara - tjsp;Estadual;TJSP;G1;0;-1;0;;-1;-1
2ª vara de familia da comarca de fortaleza - tjce;Estadual;TJCE;G1;0;1;0;;;1
2ª vara de família e sucessões da comarca de caxias do sul - tjrs;Estadual;TJRS;G1;0;1;0;;;1
2ª vara de família e sucessões da comarca de novo hamburgo - tjrs;Estadual;TJRS;G1;0;1;0;;;1
2ï¿½ vara de ï¿½rfï¿½os e sucessï¿½es de brasï¿½lia - tjdft;Estadual;TJDFT;G1;0;1;0;;;1
2º gabinete da primeira turma recursal juizados - jecrc - garanhuns - tjpe;Estadual;TJPE;TR;49;752;0;;;1
2º juizado especial cível - tjmg;Estadual;TJMG;JE;26;499;0;;;1
2º juizado especial cível/crimimal - tjmg;Estadual;TJMG;JE;26;499;0;;;1
2º juízo da 17ª vara cível do foro central da comarca de porto alegre - tjrs;Estadual;TJRS;G1;0;1;0;;;1
2º juízo da 1ª vara cível da comarca de rio grande - tjrs;Estadual;TJRS;G1;0;1;0;;;1
2º juízo da 4ª vara cível da comarca de canoas  - tjrs;Estadual;TJRS;G1;0;1;0;;;1
2º juízo da 5ª vara cível da comarca de caxias do sul - tjrs;Estadual;TJRS;G1;0;1;0;;;1
2º juízo da 5ª vara cível do foro central da comarca de porto alegre - tjrs;Estadual;TJRS;G1;0;1;0;;;1
3� vara mista de patos - tjpb;Estadual;TJPB;G1;0;1;0;;;1
31ª vara civel da comarca de fortaleza - tjce;Estadual;TJCE;G1;0;1;0;;;1
33ª vara cível - tjmg;Estadual;TJMG;G1;0;1;0;;;1
34ª vara cível - tjmg;Estadual;TJMG;G1;0;1;0;;;1
35ª vara cível - tjmg;Estadual;TJMG;G1;0;1;0;;;1
3ª camara civel - tjgo;Estadual;TJGO;G2;36;671;0;;;1
3ª vara cível (família, sucessões e inf. e juventude) da comarca de santana do livramento - tjrs;Estadual;TJRS;G1;0;1;0;;;1
3ª vara da comarca de maranguape - tjce;Estadual;TJCE;G1;0;1;0;;;1
3ª vara de familia da comarca de fortaleza - tjce;Estadual;TJCE;G1;0;1;0;;;1
3ª vara de família de imperatriz - tjma;Estadual;TJMA;G1;0;1;0;;;1
3a. vara de monteiro - tjpb;Estadual;TJPB;G1;0;1;0;;;1
3ï¿½ vara de execuï¿½ï¿½o de tï¿½tulos extrajudiciais e conflitos arbitrais de brasï¿½lia - tjdft;Estadual;TJDFT;G1;0;1;0;;;1
4� vara de fam�lia da capital - tjpb;Estadual;TJPB;G1;0;1;0;;;1
4294 - tjro;Estadual;TJRO;G2;36;671;0;;;1
4ª vara criminal da capital - tjpb;Estadual;TJPB;G1;0;1;0;;;1
4ª vara regional de mangabeira - tjpb;Estadual;TJPB;G1;0;1;0;;;1
4ª vara sorriso - tjmt;Estadual;TJMT;JE;26;499;0;;;1
5� vara mista de patos - tjpb;Estadual;TJPB;JE;26;499;0;;;1
vara de fazenda pública e de precatórias cíveis e criminais da comarca de coronel fabriciano - tjmg;Estadual;TJMG;G1;0;-1;0;;-1;20
5a vara de familia de campina grande - tjpb;Estadual;TJPB;G1;0;1;0;;;1
5ª vara lucas do rio verde - tjmt;Estadual;TJMT;JE;26;499;0;;;1
5ï¿½ vara de famï¿½lia de brasï¿½lia - tjdft;Estadual;TJDFT;G1;0;1;0;;;1
6ª  câmara cível - regime de exceção - porto alegre - tjrs;Estadual;TJRS;G2;36;671;0;;;1
6º grupo cível - porto alegre - tjrs;Estadual;TJRS;G2;36;671;0;;;1
7� vara virtual de sousa - tjpb;Estadual;TJPB;G1;0;1;0;;;1
7ï¿½ vara cï¿½vel de brasï¿½lia - tjdft;Estadual;TJDFT;G1;0;1;0;;;1
8ª vara família - tjmg;Estadual;TJMG;G1;0;1;0;;;1
01 civel de americana - tjsp;Estadual;TJSP;G1;0;17;0;;;-1
01 civel de lorena - tjsp;Estadual;TJSP;G1;0;45;0;;;-1
01 criminal de sorocaba - tjsp;Estadual;TJSP;G1;0;86;0;;;-1
01 cumulativa de americo brasiliense - tjsp;Estadual;TJSP;G1;0;-1;0;;;-1
01 cumulativa de andradina - tjsp;Estadual;TJSP;G1;0;90;0;;;-1
01 cumulativa de guaira - tjsp;Estadual;TJSP;G1;0;-1;0;;;-1
01 cumulativa de itapeva - tjsp;Estadual;TJSP;G1;0;57;0;;;-1
01 cumulativa de jose bonifacio - tjsp;Estadual;TJSP;G1;0;-1;0;;;-1
01 cumulativa de miracatu - tjsp;Estadual;TJSP;G1;0;49;0;;;-1
01 cumulativa de mococa - tjsp;Estadual;TJSP;G1;0;22;0;;;-1
01 cumulativa de monte mor - tjsp;Estadual;TJSP;G1;0;86;0;;;-1
01 cumulativa de presidente venceslau - tjsp;Estadual;TJSP;G1;0;-1;0;;;-1
01 cumulativa de serrana - tjsp;Estadual;TJSP;G1;0;-1;0;;;-1
01 familia sucessoes de guarulhos - tjsp;Estadual;TJSP;G1;0;128;0;;;-1
013 - gabinete des. namyr carlos de souza filho - tjes;Estadual;TJES;G2;36;653;-1;;;-1
019 - gabinete des. robson luiz albanez - tjes;Estadual;TJES;G2;36;652;-1;;;-1
02 civel de votorantim - tjsp;Estadual;TJSP;G1;0;44;0;;;-1
02 cumulativa de americo brasiliense - tjsp;Estadual;TJSP;G1;0;28;0;;;-1
02 cumulativa de francisco morato - tjsp;Estadual;TJSP;G1;0;97;0;;;-1
02 cumulativa de jaguariuna - tjsp;Estadual;TJSP;G1;0;175;0;;;-1
02 cumulativa de jales - tjsp;Estadual;TJSP;G1;0;100;0;;;-1
02 cumulativa de mococa - tjsp;Estadual;TJSP;G1;0;28;0;;;-1
02 cumulativa de moji mirim - tjsp;Estadual;TJSP;G1;0;27;0;;;-1
02 cumulativa de pacaembu - tjsp;Estadual;TJSP;G1;0;0;0;;;-1
02 cumulativa de pereira barreto - tjsp;Estadual;TJSP;G1;0;28;0;;;-1
vara da fazenda pública da comarca de varginha - tjmg;Estadual;TJMG;G1;0;-1;0;;-1;215
020 - gabinete des. walace pandolpho kiffer - tjes;Estadual;TJES;G2;36;653;5;;;-1
027 - gabinete des. jorge henrique valle dos santos - tjes;Estadual;TJES;G2;36;652;-1;;;-1
03 civel de guarulhos - tjsp;Estadual;TJSP;G1;0;17;0;;;-1
03 civel de jabaquara - tjsp;Estadual;TJSP;G1;0;23;0;;;-1
03 civel de osasco - tjsp;Estadual;TJSP;G1;0;52;0;;;-1
03 criminal de araraquara - tjsp;Estadual;TJSP;G1;26;462;0;;;-1
03 cumulativa de embu das artes - tjsp;Estadual;TJSP;G1;0;100;0;;;-1
03 cumulativa de itanhaem - tjsp;Estadual;TJSP;G1;0;128;0;;;-1
03 cumulativa de monte alto - tjsp;Estadual;TJSP;G1;0;94;0;;;-1
06 civel de sorocaba - tjsp;Estadual;TJSP;G1;0;20;0;;;-1
1 º juizado especial cível e criminal de socorro - tjse;Estadual;TJSE;JE;25;494;-1;;;-1
1� vara civel da comarca de caucaia - tjce;Estadual;TJCE;G1;0;230;-1;;;-1
1� vara da comarca de acopiara - tjce;Estadual;TJCE;G1;0;-1;0;;;-1
1� vara da comarca de cascavel - tjce;Estadual;TJCE;G1;0;24;0;;;-1
1� vara da comarca de horizonte - tjce;Estadual;TJCE;G1;0;22;0;;;-1
1� vara mista de catol� do rocha - tjpb;Estadual;TJPB;G1;26;499;0;;;-1
1? juizado especial c?vel e criminal e 1? juizado de viol?ncia dom?stica e familiar contra a mulher do guar? - tjdft;Estadual;TJDFT;G1;0;22;0;;;-1
1? vara c?vel de samambaia - tjdft;Estadual;TJDFT;G1;0;-1;-1;;;-1
10ª vara cível de teresina - tjpi;Estadual;TJPI;G1;0;271;-1;;;-1
11ª vara criminal (inativo) - tjrn;Estadual;TJRN;G1;0;-1;-1;;;-1
12 ª vara cível de aracaju - tjse;Estadual;TJSE;G1;-1;284;-1;;;-1
12ª vara cível de são luís - tjma;Estadual;TJMA;G1;0;288;5;;;-1
12ª vara criminal - tjba;Estadual;TJBA;G1;0;66;0;;;-1
12ª vara criminal dos crimes punidos com reclusão - tjgo;Estadual;TJGO;G1;0;185;0;;;-1
rolândia - vara cível e da fazenda pública - tjpr;Estadual;TJPR;G1;0;-1;0;;-1;27
12ª vara do juizado especial cível de belém - tjpa;Estadual;TJPA;JE;26;493;-1;;;-1
12º juizado especial cível central - tjrn;Estadual;TJRN;JE;26;521;-1;;;-1
13 ª vara cível de aracaju - tjse;Estadual;TJSE;G1;-1;-1;-1;;;-1
13� vara de familia da comarca de fortaleza - tjce;Estadual;TJCE;G1;0;-1;0;;;-1
13ª vara criminal da capital / auditoria militar - tjal;Estadual;TJAL;G1;0;-1;0;;;-1
cornélio procópio - 2ª vara cível e da fazenda pública - tjpr;Estadual;TJPR;G1;0;-1;0;;-1;341
14ª vara cível e ambiental - tjgo;Estadual;TJGO;G1;0;291;-1;;;-1
14º vara cível de são luís - tjma;Estadual;TJMA;G1;0;288;5;;;-1
15ª vara cível e empresarial de belém - tjpa;Estadual;TJPA;G1;26;475;-1;;;-1
16ª vara criminal - tjrn;Estadual;TJRN;G1;0;-1;-1;;;-1
18 ª vara cível de aracaju - tjse;Estadual;TJSE;G1;-1;284;-1;;;-1
1ª câmara cível - tjam;Estadual;TJAM;G2;36;650;0;;;-1
1ª camara criminal - tjgo;Estadual;TJGO;G2;36;683;0;;;-1
1ª turma recursal dos juizados especiais - tjgo;Estadual;TJGO;TR;48;743;0;;;-1
1ª v dos feitos de rel de cons civ e comerciais de baianópolis - tjba;Estadual;TJBA;G1;0;194;0;;;-1
1ª v dos feitos de rel de cons civ e comerciais de urandi - tjba;Estadual;TJBA;G1;0;310;0;;;-1
1ª vara - estrela - tjrs;Estadual;TJRS;G1;0;315;0;;;-1
1ª vara - rio pardo - tjrs;Estadual;TJRS;G1;0;-1;0;;;-1
1ª vara - são jerônimo - tjrs;Estadual;TJRS;G1;26;539;0;;;-1
1ª vara - tjrn;Estadual;TJRN;G1;-1;225;-1;;;-1
1ª vara (cível, criminal - crime em geral e exec penais - e da inf e da juv) - tjgo;Estadual;TJGO;G1;26;526;-1;;;-1
1ª vara cível - ariquemes - tjro;Estadual;TJRO;G1;0;321;0;;;-1
1ª vara cível - cachoeira do sul - tjrs;Estadual;TJRS;G1;0;315;0;;;-1
1ª vara cível - santo ângelo - tjrs;Estadual;TJRS;G1;0;28;0;;;-1
1ª vara cível - são borja - tjrs;Estadual;TJRS;G1;0;251;0;;;-1
1ª vara cível - são gabriel - tjrs;Estadual;TJRS;G1;0;-1;0;;;-1
1ª vara cível - vilhena - tjro;Estadual;TJRO;G1;0;328;0;;;-1
1ª vara cível (cível, criminal - crimes em geral e execução penal, e da infância e da juventude) - tjgo;Estadual;TJGO;G1;0;79;0;;;-1
1ª vara cível da capital - tjal;Estadual;TJAL;G1;0;329;0;;;-1
1ª vara cível da comarca de araranguá - tjsc;Estadual;TJSC;G1;26;524;0;;;-1
1ª vara cível da comarca de arcoverde - tjpe;Estadual;TJPE;G1;0;268;0;;;-1
1ª vara cível da comarca de cruz alta - tjrs;Estadual;TJRS;G1;0;28;0;;;-1
1ª vara cível da comarca de moreno - tjpe;Estadual;TJPE;G1;0;337;-1;;;-1
1ª vara cível da comarca de nova serrana - tjmg;Estadual;TJMG;JE;26;550;0;;;-1
1ª vara cível da comarca de serra talhada - tjpe;Estadual;TJPE;G1;0;317;0;;;-1
1ª vara cível de rondon do pará - tjpa;Estadual;TJPA;G1;0;-1;0;;;-1
1ª vara cível e criminal de breves - tjpa;Estadual;TJPA;G1;-1;32;-1;;;-1
1ª vara cível e criminal de cametá - tjpa;Estadual;TJPA;G1;0;263;-1;;;-1
1ª vara cível e da infância e da juventude da comarca de guaxupé - tjmg;Estadual;TJMG;G1;0;267;-1;;;-1
1ª vara cível e da infância e da juventude da comarca de joão monlevade - tjmg;Estadual;TJMG;G1;0;-1;0;;;-1
1ª vara cível e empresarial de bragança - tjpa;Estadual;TJPA;G1;0;32;-1;;;-1
1ª vara cível e empresarial de itaituba - tjpa;Estadual;TJPA;G1;0;335;0;;;-1
1ª vara cível e juizado especial cível da comarca de igarapé - tjmg;Estadual;TJMG;JE;26;554;0;;;-1
1ª vara cível, criminal e da infância e da juventude da comarca de itabirito - tjmg;Estadual;TJMG;G1;0;12;0;;;-1
1ª vara cível, criminal e de execuções penais da comarca de lagoa santa - tjmg;Estadual;TJMG;G1;0;335;0;;;-1
1ª vara criminal - santa luzia do oeste - tjro;Estadual;TJRO;G1;0;81;0;;;-1
1ª vara criminal de parnaíba - tjpi;Estadual;TJPI;G1;-1;-1;-1;;;-1
1ª vara criminal do distrito judiciário da zona norte (inativo) - tjrn;Estadual;TJRN;G1;0;81;0;;;-1
1ª vara criminal, de precatórias criminais e de execução penal da comarca de passos - tjmg;Estadual;TJMG;G1;0;161;0;;;-1
1ª vara da comarca de acarau - tjce;Estadual;TJCE;G1;0;29;0;;;-1
1ª vara da comarca de aquiraz - tjce;Estadual;TJCE;G1;0;324;0;;;-1
1ª vara da comarca de bezerros - tjpe;Estadual;TJPE;G1;0;452;0;;;-1
1ª vara da comarca de horizonte - tjce;Estadual;TJCE;G1;0;-1;0;;;-1
1ª vara da comarca de mombaça - tjce;Estadual;TJCE;G1;0;-1;0;;;-1
1ª vara da comarca de surubim - tjpe;Estadual;TJPE;G1;0;365;-1;;;-1
1ª vara de  balsas - tjma;Estadual;TJMA;G1;0;-1;0;;;-1
1ª vara de direitos difusos, coletivos e individuais homogêneos - tjms;Estadual;TJMS;G1;0;331;-1;;;-1
1ª vara de família de açailândia - tjma;Estadual;TJMA;G1;0;-1;0;;;-1
1ª vara de família e registro civil da comarca de jaboatão dos guararapes - tjpe;Estadual;TJPE;G1;0;194;0;;;-1
1ª vara de floriano - tjpi;Estadual;TJPI;G1;-1;-1;-1;;;-1
1ª vara de joão lisboa - tjma;Estadual;TJMA;G1;0;-1;0;;;-1
1ª vara de porto alegre do norte - tjmt;Estadual;TJMT;G1;0;380;0;;;-1
1ª vara de santa luzia - tjma;Estadual;TJMA;G1;26;499;0;;;-1
1ª vara de tailândia - tjpa;Estadual;TJPA;G1;0;-1;-1;;;-1
1ª vara do tribunal popular do júri de teresina - tjpi;Estadual;TJPI;G1;-1;256;-1;;;-1
1ª vara empresarial, de fazenda pública e registros públicos da comarca de contagem - tjmg;Estadual;TJMG;G1;0;-1;0;;12;270
2ª vara empresarial e de fazenda pública - tjmg;Estadual;TJMG;G1;0;-1;0;;28;-1
1ª vara judicial - canela - tjrs;Estadual;TJRS;G1;0;354;0;;;-1
1ª vara judicial - cerro largo - tjrs;Estadual;TJRS;G1;0;354;0;;;-1
1ª vara judicial - horizontina - tjrs;Estadual;TJRS;G1;26;463;0;;;-1
1ª vara nova mutum - tjmt;Estadual;TJMT;G1;0;21;0;;;-1
1ª vara nova xavantina - tjmt;Estadual;TJMT;G1;0;-1;0;;;-1
1ª vara são josé do rio claro - tjmt;Estadual;TJMT;G1;0;100;0;;;-1
1ª vara/ofício cível - tjms;Estadual;TJMS;G1;26;588;-1;;;-1
1ª vara/ofício cível e criminal - tjms;Estadual;TJMS;G1;26;589;-1;;;-1
1a. vara de monteiro - tjpb;Estadual;TJPB;G1;0;33;-1;;;-1
1º juizado especial - sdcr - tjmt;Estadual;TJMT;JE;25;508;-1;;;-1
1º vara  de coruripe - tjal;Estadual;TJAL;G1;0;100;0;;;-1
2 ª vara cível e criminal da comarca de nossa senhora das dores - tjse;Estadual;TJSE;G1;0;386;0;;;-1
2 ª vara cível e criminal de nossa senhora da glória - tjse;Estadual;TJSE;G1;0;23;0;;;-1
2 º juizado especial civel de aracaju - tjse;Estadual;TJSE;JE;25;494;-1;;;-1
