;case: orgao_mun;14;195;287;864;899;1146;1156;1209;6191;7724;8826;9633;9985;10739;11049;11068;11428;12467;12480;12734;2;268;268:269;268:277;268:281;268:284;268:303;268:308;268:316;268:334;268:412;2:1106;2:12133;2:158;2:175;2:197;2:214;385;385:406;total;cluster;count
16;01 CUMULATIVA DE MARTINOPOLIS - TJSP;0.103;0.0;0.603;0.0;0.005;0.0;0.005;0.276;0.0;0.0;0.009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005;0.028;0.0;0.0;0.0;0.0;0.0;0.0;0.014;0.0;0.107;0.0;0.0;0.0;0.846;0.0;0.014;-1;-1
17;01 CUMULATIVA DE PEDERNEIRAS - TJSP;0.522;0.13;0.026;0.0;0.243;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.017;0.0;0.009;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.557;0.0;0.0;0.017;0.0;0.0;0.007;-1;-1
18;01 CUMULATIVA DE PIRAPOZINHO - TJSP;0.899;0.0;0.069;0.0;0.023;0.0;0.005;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005;0.069;0.0;0.0;0.0;0.0;0.0;0.0;0.028;0.0;0.899;0.0;0.0;0.0;0.0;0.0;0.014;-1;-1
19;01 CUMULATIVA DE PRESIDENTE EPITACIO - TJSP;0.627;0.02;0.02;0.0;0.08;0.0;0.013;0.007;0.0;0.0;0.02;0.0;0.213;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013;0.007;0.0;0.0;0.0;0.013;0.0;0.06;0.0;0.907;0.0;0.0;0.0;0.0;0.0;0.01;-1;-1
20;01 CUMULATIVA DE RANCHARIA - TJSP;0.006;0.001;0.594;0.0;0.288;0.003;0.005;0.006;0.0;0.006;0.082;0.0;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.107;0.486;0.001;0.005;0.0;0.0;0.0;0.0;0.269;0.02;0.11;0.001;0.0;0.0;0.001;0.0;0.375;-1;-1
21;01 CUMULATIVA DE REGISTRO - TJSP;0.0;0.0;0.069;0.0;0.783;0.0;0.0;0.007;0.0;0.0;0.0;0.0;0.141;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007;0.051;0.007;0.0;0.0;0.0;0.007;0.0;0.913;0.0;0.011;0.0;0.0;0.0;0.004;0.0;0.018;-1;-1
22;01 CUMULATIVA DE SANTA FE DO SUL - TJSP;0.95;0.001;0.002;0.0;0.004;0.0;0.007;0.0;0.0;0.0;0.007;0.0;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001;0.001;0.0;0.0;0.0;0.0;0.0;0.005;0.0;0.993;0.0;0.0;0.0;0.0;0.0;0.098;0;0
23;01 CUMULATIVA DE SANTA ISABEL - TJSP;0.0;0.014;0.068;0.0;0.689;0.0;0.0;0.0;0.0;0.0;0.068;0.0;0.149;0.0;0.0;0.0;0.0;0.0;0.0;0.014;0.0;0.0;0.0;0.041;0.027;0.0;0.0;0.0;0.0;0.0;0.0;0.878;0.0;0.014;0.027;0.0;0.014;0.0;0.0;0.005;-1;-1
24;01 CUMULATIVA DE SAO MANUEL - TJSP;0.009;0.0;0.035;0.0;0.655;0.0;0.0;0.035;0.0;0.0;0.248;0.009;0.009;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009;0.035;0.0;0.0;0.0;0.0;0.009;0.0;0.788;0.0;0.124;0.0;0.0;0.0;0.035;0.0;0.007;-1;-1
25;01 FAMILIA SUCESSOES DE BAURU - TJSP;0.008;0.0;0.0;0.0;0.992;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.929;0.0;0.008;0.063;0.0;0.0;0.0;0.0;0.008;1;1
26;01 FAMILIA SUCESSOES DE CENTRAL - TJSP;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005;1;1
27;01 FAMILIA SUCESSOES DE TATUAPE - TJSP;0.0;0.0;0.0;0.0;0.968;0.0;0.0;0.0;0.0;0.0;0.032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004;1;1
28;01 FAZENDA PUBLICA DE CAMPINAS - TJSP;0.103;0.0;0.0;0.0;0.205;0.0;0.0;0.0;0.0;0.0;0.077;0.0;0.615;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.923;0.0;0.077;0.0;0.0;0.0;0.0;0.0;0.002;-1;-1
29;01 FAZENDA PUBLICA DE GUARULHOS - TJSP;0.046;0.0;0.0;0.0;0.932;0.0;0.0;0.0;0.0;0.0;0.006;0.0;0.017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034;0.0;0.965;0.0;0.0;0.001;0.0;0.0;0.069;-1;-1
30;01 JURI DE CENTRAL - TJSP;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.087;0.819;0.0;0.0;0.0;0.0;0.094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009;-1;-1
31;01 REGISTROS PUBLICOS DE CENTRAL - TJSP;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.979;0.0;0.0;0.021;0.0;0.0;0.0;0.0;0.003;-1;-1
32;02 CIVEL DE AVARE - TJSP;0.015;0.022;0.0;0.004;0.72;0.0;0.026;0.0;0.0;0.004;0.196;0.0;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.852;0.0;0.137;0.007;0.0;0.004;0.0;0.0;0.018;-1;-1
33;02 CIVEL DE BAURU - TJSP;0.028;0.0;0.0;0.0;0.969;0.0;0.002;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.86;0.0;0.138;0.002;0.0;0.0;0.0;0.0;0.101;-1;-1
34;02 CIVEL DE DIADEMA - TJSP;0.136;0.049;0.0;0.0;0.772;0.0;0.024;0.0;0.0;0.0;0.015;0.0;0.005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.155;0.0;0.84;0.0;0.0;0.005;0.0;0.0;0.013;-1;-1
35;02 CIVEL DE GUARULHOS - TJSP;0.011;0.011;0.011;0.0;0.71;0.0;0.065;0.0;0.0;0.0;0.011;0.0;0.183;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.828;0.0;0.097;0.011;0.0;0.054;0.0;0.0;0.006;-1;-1
36;02 CIVEL DE MAUA - TJSP;0.026;0.006;0.0;0.0;0.949;0.0;0.013;0.0;0.0;0.0;0.006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.122;0.0;0.872;0.0;0.0;0.006;0.0;0.0;0.01;-1;-1
37;02 CIVEL DE MOGI DAS CRUZES - TJSP;0.0;0.0;0.0;0.0;0.906;0.0;0.0;0.0;0.0;0.0;0.057;0.0;0.038;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.566;0.0;0.434;0.0;0.0;0.0;0.0;0.0;0.003;-1;-1
38;02 CIVEL DE OSASCO - TJSP;0.0;0.025;0.025;0.0;0.812;0.0;0.0;0.0;0.0;0.0;0.05;0.0;0.088;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025;0.0;0.0;0.0;0.0;0.0;0.0;0.525;0.0;0.412;0.0;0.0;0.038;0.0;0.0;0.005;-1;-1
39;02 CIVEL DE SAO BERNARDO DO CAMPO - TJSP;0.027;0.014;0.005;0.0;0.895;0.0;0.027;0.0;0.0;0.0;0.018;0.0;0.009;0.0;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.137;0.005;0.849;0.0;0.0;0.005;0.0;0.0;0.014;-1;-1
40;02 CRIMINAL DE BAURU - TJSP;0.0;0.0;0.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005;0.005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005;0.056;0.005;0.0;0.0;0.0;0.934;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013;-1;-1
41;02 CRIMINAL DE ITAPETININGA - TJSP;0.0;0.0;0.915;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.043;0.043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021;0.191;0.085;0.0;0.0;0.0;0.702;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003;-1;-1
42;02 CRIMINAL DE SUZANO - TJSP;0.0;0.0;0.97;0.0;0.0;0.0;0.0;0.023;0.0;0.0;0.0;0.008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008;0.068;0.015;0.0;0.0;0.0;0.887;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.008;0.009;-1;-1
43;02 CUMULATIVA DE AMPARO - TJSP;0.0;0.0;0.667;0.0;0.156;0.0;0.0;0.022;0.0;0.0;0.089;0.067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.089;0.222;0.0;0.022;0.0;0.0;0.422;0.0;0.067;0.0;0.067;0.044;0.0;0.067;0.0;0.0;0.003;-1;-1
44;02 CUMULATIVA DE HORTOLANDIA - TJSP;0.0;0.014;0.417;0.0;0.542;0.0;0.028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.028;0.167;0.069;0.0;0.042;0.0;0.0;0.0;0.431;0.0;0.125;0.0;0.0;0.014;0.0;0.0;0.005;-1;-1
45;02 CUMULATIVA DE REGISTRO - TJSP;0.0;0.0;0.015;0.0;0.777;0.0;0.005;0.005;0.0;0.0;0.005;0.0;0.194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.015;0.0;0.0;0.0;0.0;0.005;0.0;0.976;0.0;0.005;0.0;0.0;0.0;0.0;0.0;0.013;-1;-1
46;02 CUMULATIVA DE TAQUARITINGA - TJSP;0.0;0.044;0.838;0.0;0.074;0.0;0.015;0.015;0.0;0.0;0.0;0.0;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.029;0.162;0.088;0.0;0.0;0.0;0.559;0.0;0.118;0.0;0.029;0.0;0.0;0.0;0.015;0.0;0.004;-1;-1
47;02 FAZENDA PUBLICA DE CENTRAL - TJSP;0.014;0.0;0.0;0.0;0.767;0.0;0.0;0.0;0.0;0.0;0.023;0.0;0.196;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.991;0.0;0.0;0.009;0.0;0.0;0.0;0.0;0.014;-1;-1
48;02 FAZENDA PUBLICA DE OSASCO - TJSP;0.056;0.0;0.0;0.0;0.745;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.193;0.0;0.0;0.0;0.0;0.0;0.006;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.019;0.0;0.981;0.0;0.0;0.0;0.0;0.0;0.01;-1;-1
49;03 CIVEL DE BAURU - TJSP;0.05;0.0;0.0;0.0;0.945;0.0;0.001;0.0;0.0;0.0;0.003;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.812;0.0;0.183;0.005;0.0;0.0;0.0;0.0;0.057;-1;-1
50;03 CIVEL DE JUNDIAI - TJSP;0.131;0.0;0.0;0.0;0.8;0.0;0.015;0.0;0.0;0.0;0.015;0.0;0.031;0.0;0.0;0.0;0.0;0.0;0.008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.292;0.0;0.708;0.0;0.0;0.0;0.0;0.0;0.008;-1;-1
51;03 CRIMINAL DE DIADEMA - TJSP;0.0;0.0;0.949;0.0;0.0;0.0;0.0;0.007;0.0;0.0;0.029;0.015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.022;0.153;0.029;0.0;0.0;0.0;0.796;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009;-1;-1
52;03 CRIMINAL DE SANTOS - TJSP;0.0;0.0;0.973;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009;0.027;0.55;0.099;0.009;0.0;0.0;0.306;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007;-1;-1
53;03 CUMULATIVA DE MOJI MIRIM - TJSP;0.0;0.088;0.735;0.0;0.147;0.0;0.0;0.0;0.0;0.0;0.029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.059;0.029;0.0;0.0;0.0;0.647;0.0;0.206;0.0;0.029;0.0;0.0;0.029;0.0;0.0;0.002;-1;-1
54;03 FAMILIA SUCESSOES DE CENTRAL - TJSP;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004;1;1
55;03 FAMILIA SUCESSOES DE SANTOS - TJSP;0.027;0.0;0.0;0.0;0.919;0.0;0.0;0.0;0.0;0.0;0.054;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.838;0.0;0.0;0.162;0.0;0.0;0.0;0.0;0.002;-1;-1
56;04 FAMILIA SUCESSOES DE CENTRAL - TJSP;0.0;0.0;0.0;0.0;0.977;0.0;0.0;0.0;0.0;0.0;0.023;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006;1;1
57;05 CIVEL DE CAMPINAS - TJSP;0.032;0.035;0.0;0.0;0.776;0.0;0.016;0.0;0.0;0.01;0.131;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.724;0.006;0.253;0.013;0.0;0.003;0.0;0.0;0.02;4;4
58;05 CRIMINAL DE CENTRAL - TJSP;0.0;0.0;0.837;0.0;0.0;0.0;0.0;0.041;0.0;0.0;0.122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.102;0.673;0.041;0.0;0.0;0.0;0.184;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003;-1;-1
59;05 FAMILIA SUCESSOES DE CENTRAL - TJSP;0.0;0.0;0.0;0.0;0.969;0.0;0.0;0.0;0.0;0.0;0.031;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004;1;1
60;06 CRIMINAL DE SANTOS - TJSP;0.0;0.0;0.906;0.0;0.0;0.0;0.0;0.031;0.0;0.0;0.0;0.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.594;0.156;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002;-1;-1
61;06 FAMILIA SUCESSOES DE CENTRAL - TJSP;0.0;0.0;0.0;0.0;0.979;0.0;0.0;0.0;0.0;0.0;0.021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003;1;1
62;07 FAMILIA SUCESSOES DE CENTRAL - TJSP;0.0;0.0;0.0;0.0;0.982;0.0;0.0;0.0;0.0;0.0;0.018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004;1;1
63;08 CRIMINAL DE CENTRAL - TJSP;0.0;0.0;0.889;0.0;0.0;0.0;0.0;0.014;0.0;0.0;0.097;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.028;0.736;0.125;0.0;0.0;0.0;0.111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005;-1;-1
64;08 FAMILIA SUCESSOES DE CENTRAL - TJSP;0.0;0.0;0.0;0.0;0.955;0.0;0.0;0.0;0.0;0.0;0.045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004;1;1
65;09 FAMILIA SUCESSOES DE CENTRAL - TJSP;0.0;0.0;0.0;0.0;0.982;0.0;0.0;0.0;0.0;0.0;0.018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004;1;1
66;09 FAZENDA PUBLICA DE CENTRAL - TJSP;0.022;0.011;0.0;0.0;0.398;0.0;0.0;0.0;0.0;0.0;0.032;0.0;0.538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.914;0.0;0.022;0.011;0.0;0.022;0.0;0.0;0.006;-1;-1
67;1 VARA DE EXECUCOES PENAIS DE SALVADOR - ABERTO - TJBA;0.0;0.0;0.028;0.0;0.0;0.0;0.0;0.972;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.007;-1;-1
68;1 ª CÍVEL E CRIMINAL DE NEÓPOLIS - TJSE;0.095;0.006;0.201;0.001;0.278;0.0;0.006;0.012;0.0;0.0;0.332;0.001;0.066;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.031;0.167;0.003;0.003;0.0;0.0;0.007;0.0;0.422;0.0;0.343;0.003;0.0;0.013;0.007;0.0;0.044;-1;-1
69;1 ª VARA CIVEL DE ITABAIANA - TJSE;0.299;0.004;0.0;0.013;0.315;0.0;0.042;0.0;0.0;0.001;0.261;0.0;0.065;0.0;0.0;0.0;0.001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.463;0.0;0.513;0.015;0.001;0.008;0.0;0.0;0.066;-1;-1
70;1 ª VARA CIVEL DE LAGARTO - TJSE;0.15;0.009;0.0;0.013;0.28;0.0;0.039;0.0;0.0;0.004;0.315;0.0;0.185;0.0;0.0;0.002;0.0;0.0;0.0;0.002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.507;0.013;0.443;0.002;0.0;0.035;0.0;0.0;0.03;-1;-1
