Orgao;2;268;268:269;268:277;268:281;268:284;268:303;268:308;268:316;268:334;268:412;2:1106;2:12133;2:158;2:175;2:197;2:214;385;385:406
01 civel de fernandopolis - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;16;0;5;0;0;0;0;0
01 civel de franca - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;25;0;14;0;0;1;0;0
01 civel de franco da rocha - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;12;0;2;0;0;2;0;0
01 civel de guaruja - tjsp (g1);0;0;0;0;2;0;0;0;0;0;0;17;0;9;0;0;1;0;0
01 civel de guarulhos - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;54;0;12;3;0;0;0;0
01 civel de ibitinga - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;17;0;13;0;0;1;0;0
01 civel de indaiatuba - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;20;0;13;2;0;2;0;0
01 civel de ipiranga - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;22;0;1;0;0;1;0;0
01 civel de itapetininga - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;8;1;6;0;0;1;0;0
01 civel de itapevi - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;13;0;5;2;0;0;0;0
01 civel de itaquaquecetuba - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;17;0;8;1;0;0;0;0
01 civel de itaquera - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;24;0;4;0;0;0;0;0
01 civel de itatiba - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;12;0;12;0;0;0;0;0
01 civel de itu - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;11;0;10;0;0;2;0;0
01 civel de jabaquara - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;30;0;12;4;0;2;0;0
01 civel de jacarei - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;12;1;0;0;0;0;0;0
01 civel de jau - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;19;1;4;1;0;2;0;0
01 civel de jundiai - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;32;0;5;1;0;1;0;0
01 civel de lapa - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;7;0;4;0;0;0;0;0
01 civel de leme - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;7;0;2;0;0;1;0;0
01 civel de limeira - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;16;0;5;0;0;5;0;0
01 civel de lins - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;0
01 civel de lorena - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;16;0;3;0;0;0;0;0
01 civel de marilia - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;15;0;3;0;0;0;0;0
01 civel de matao - tjsp (g1);0;0;0;0;0;2;0;0;0;0;0;4;0;10;2;0;0;0;0
01 civel de maua - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;14;0;4;0;0;0;0;0
01 civel de mogi das cruzes - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;11;1;21;0;0;1;0;0
01 civel de moji guacu - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;17;0;4;1;0;4;0;0
01 civel de nossa senhora do o - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;17;0;15;0;0;0;0;0
01 civel de olimpia - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;20;0;3;1;0;0;0;0
01 civel de osasco - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;20;0;22;0;0;3;0;0
01 civel de ourinhos - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;17;0;3;0;0;0;0;0
01 civel de penha - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;26;0;10;0;0;0;0;0
01 civel de pindamonhangaba - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;17;0;5;1;0;0;0;0
01 civel de pinheiros - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;29;0;8;0;1;3;0;0
01 civel de piracicaba - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;7;0;11;0;0;2;0;0
01 civel de poa - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;13;0;2;0;0;2;0;0
01 civel de praia grande - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;22;0;13;0;0;3;0;0
01 civel de presidente prudente - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;8;0;4;0;0;0;0;0
01 civel de ribeirao preto - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;24;0;18;0;0;0;0;0
01 civel de rio claro - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0;0;0;0
01 civel de santa barbara d oeste - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;9;0;5;0;0;0;0;0
01 civel de santana - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;26;0;12;0;0;2;0;0
01 civel de santo amaro - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;17;0;6;0;0;0;0;0
01 civel de santo andre - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;31;0;11;0;0;0;0;0
01 civel de santos - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;16;0;4;0;0;1;0;0
01 civel de sao bernardo do campo - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;23;0;9;0;0;1;0;0
01 civel de sao caetano do sul - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;38;0;6;0;0;1;0;0
01 civel de sao carlos - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;8;0;1;1;0;1;0;0
01 civel de sao joao da boa vista - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;9;0;2;0;0;1;0;0
01 civel de sao jose do rio preto - tjsp (g1);0;0;0;0;12;2;0;0;0;0;0;24;0;13;2;0;4;0;0
01 civel de sao jose dos campos - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;11;0;10;0;0;0;0;0
01 civel de sao miguel paulista - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;12;0;9;1;0;0;0;0
01 civel de sao roque - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;12;0;2;0;0;0;0;0
01 civel de sao sebastiao - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0
01 civel de sao vicente - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;21;0;7;0;0;0;0;0
01 civel de sertaozinho - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;10;0;5;2;0;0;0;0
01 civel de sorocaba - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;19;0;12;0;0;1;0;0
01 civel de sumare - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;12;0;7;1;0;0;0;0
01 civel de suzano - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;36;0;5;0;0;1;0;0
01 civel de taboao da serra - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;13;0;6;0;0;3;0;0
01 civel de tatuape - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;14;0;13;0;0;0;0;0
01 civel de tatui - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;7;0;5;1;0;1;0;0
01 civel de taubate - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;8;0;5;0;0;0;0;0
01 civel de tupa - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;11;0;7;0;0;0;0;0
01 civel de vila prudente - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;11;0;11;0;0;0;0;0
01 civel de votorantim - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;0;0;0;0
01 criminal de americana - tjsp (g1);0;0;0;0;4;4;0;0;0;14;0;0;0;0;0;0;0;0;0
01 criminal de aracatuba - tjsp (g1);0;0;0;2;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de araraquara - tjsp (g1);0;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0
01 criminal de assis - tjsp (g1);0;0;0;2;10;1;0;0;0;0;0;0;0;0;0;0;0;3;0
01 criminal de atibaia - tjsp (g1);0;0;0;0;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de avare - tjsp (g1);0;0;0;2;2;1;1;0;0;2;0;0;0;0;0;0;0;4;2
01 criminal de barretos - tjsp (g1);0;0;0;3;1;1;0;0;0;1;0;0;0;0;0;0;0;6;0
01 criminal de barueri - tjsp (g1);0;0;0;7;12;0;0;0;0;0;0;0;0;0;0;0;0;2;0
01 criminal de bauru - tjsp (g1);0;0;0;7;43;3;0;0;0;34;0;3;0;0;0;0;0;0;0
01 criminal de birigui - tjsp (g1);0;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de botucatu - tjsp (g1);0;0;0;7;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de braganca paulista - tjsp (g1);0;0;0;2;14;2;2;0;0;2;0;0;0;0;0;0;0;0;0
01 criminal de campinas - tjsp (g1);0;0;0;2;23;7;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de carapicuiba - tjsp (g1);0;0;0;7;12;2;0;0;0;4;0;0;0;0;0;0;0;0;0
01 criminal de catanduva - tjsp (g1);0;0;0;3;3;6;0;0;0;2;0;0;0;0;0;0;0;2;0
01 criminal de central - tjsp (g1);0;0;0;2;19;2;0;0;0;9;0;0;0;0;0;0;0;0;0
01 criminal de diadema - tjsp (g1);0;0;0;3;24;1;0;0;0;4;0;0;0;0;0;0;0;0;0
01 criminal de fernandopolis - tjsp (g1);0;0;0;5;3;1;0;0;0;2;0;0;0;0;0;0;0;0;0
01 criminal de franca - tjsp (g1);0;0;0;9;13;1;0;0;0;3;0;0;0;0;0;0;0;0;0
01 criminal de guaruja - tjsp (g1);0;0;0;3;8;1;0;0;0;1;1;0;0;0;0;0;0;1;0
01 criminal de guarulhos - tjsp (g1);0;0;0;9;5;2;0;0;0;5;0;0;0;0;0;0;0;0;0
01 criminal de indaiatuba - tjsp (g1);0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de itapetininga - tjsp (g1);0;0;0;4;2;1;0;0;0;3;0;0;0;0;0;0;0;0;0
01 criminal de itaquaquecetuba - tjsp (g1);0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;3;0
01 criminal de jabaquara - tjsp (g1);0;0;0;25;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de jacarei - tjsp (g1);0;0;0;3;10;5;0;0;0;0;0;0;0;0;0;0;0;6;0
01 criminal de jau - tjsp (g1);0;0;0;4;16;4;0;0;0;0;0;0;0;0;0;0;0;4;0
01 criminal de jundiai - tjsp (g1);0;0;0;12;5;2;1;0;0;2;0;0;0;0;0;0;0;0;0
01 criminal de limeira - tjsp (g1);0;0;0;1;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de lins - tjsp (g1);0;0;0;3;12;3;0;0;0;0;0;0;0;0;0;0;0;26;0
01 criminal de marilia - tjsp (g1);0;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de maua - tjsp (g1);0;0;0;1;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de mogi das cruzes - tjsp (g1);0;0;0;4;8;3;0;0;0;1;0;0;0;0;0;0;0;0;0
01 criminal de osasco - tjsp (g1);0;0;0;7;5;1;0;0;0;1;0;0;0;0;0;0;0;0;0
01 criminal de ourinhos - tjsp (g1);0;0;0;1;3;2;1;0;0;0;0;0;0;0;0;0;0;4;0
01 criminal de penha - tjsp (g1);0;0;0;23;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de pinheiros - tjsp (g1);0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de piracicaba - tjsp (g1);0;0;0;0;4;1;0;0;0;2;0;0;0;0;0;0;0;0;0
01 criminal de poa - tjsp (g1);0;0;0;3;3;1;0;0;0;4;0;0;0;0;0;0;0;2;0
01 criminal de praia grande - tjsp (g1);0;0;0;2;15;1;0;0;0;2;0;0;0;0;0;0;0;0;0
01 criminal de presidente prudente - tjsp (g1);0;0;0;2;14;4;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de ribeirao preto - tjsp (g1);0;0;0;2;20;1;0;0;0;2;0;0;0;0;0;0;0;0;0
01 criminal de rio claro - tjsp (g1);0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de santa barbara d oeste - tjsp (g1);0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0
01 criminal de santana - tjsp (g1);0;0;0;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de santo amaro - tjsp (g1);0;0;0;18;34;1;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de santo andre - tjsp (g1);0;0;0;9;3;1;0;0;0;2;0;0;0;0;0;0;5;0;0
01 criminal de santos - tjsp (g1);0;0;0;3;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de sao bernardo do campo - tjsp (g1);0;0;0;13;4;4;0;0;0;1;0;0;0;0;0;0;0;0;0
01 criminal de sao caetano do sul - tjsp (g1);0;0;0;3;14;0;0;0;0;46;0;0;0;0;0;0;0;0;0
01 criminal de sao carlos - tjsp (g1);0;0;0;0;11;0;0;0;0;1;0;0;0;0;0;0;0;0;0
01 criminal de sao jose do rio preto - tjsp (g1);0;0;0;3;75;12;0;0;0;1;0;0;0;0;0;0;0;0;0
01 criminal de sao jose dos campos - tjsp (g1);0;0;0;4;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
01 criminal de sao miguel paulista - tjsp (g1);0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de sao vicente - tjsp (g1);0;0;0;3;11;4;0;0;0;4;0;0;0;0;0;0;0;0;0
01 criminal de sertaozinho - tjsp (g1);0;0;0;177;19;11;1;0;0;1;0;0;0;0;0;0;0;3;0
01 criminal de sorocaba - tjsp (g1);0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0
01 criminal de sumare - tjsp (g1);0;0;0;1;16;0;0;0;0;0;0;0;0;0;0;0;0;9;0
01 criminal de suzano - tjsp (g1);0;0;0;4;32;5;0;0;0;1;0;0;0;0;0;0;0;0;0
01 criminal de tatuape - tjsp (g1);0;0;0;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01 criminal de tatui - tjsp (g1);0;0;0;8;1;3;0;0;0;9;0;0;0;0;0;0;0;0;0
01 criminal de taubate - tjsp (g1);0;0;0;6;8;5;9;0;1;4;0;0;0;0;0;0;0;0;0
01 criminal e anexo viol. domest. e fam. contra a mulher de itu - tjsp (g1);0;0;0;6;2;4;0;0;0;1;0;0;0;0;0;0;0;0;0
01 cumulativa de adamantina - tjsp (g1);0;0;0;4;1;0;0;0;0;0;0;8;0;16;0;0;0;0;0
01 cumulativa de agudos - tjsp (g1);0;0;0;1;7;0;0;0;0;0;0;9;0;1;1;0;0;0;0
01 cumulativa de americo brasiliense - tjsp (g1);0;0;0;0;2;0;0;0;0;0;0;2;0;3;0;0;0;1;0
01 cumulativa de amparo - tjsp (g1);0;0;0;0;5;2;1;0;0;6;0;16;0;3;0;0;2;2;0
01 cumulativa de andradina - tjsp (g1);0;0;0;21;4;0;0;0;0;0;0;9;0;1;0;0;0;0;0
01 cumulativa de aparecida - tjsp (g1);0;0;0;3;2;0;0;0;0;1;0;38;0;10;2;0;2;4;0
01 cumulativa de aruja - tjsp (g1);0;0;0;2;13;1;0;0;0;0;0;14;0;5;1;0;3;0;0
01 cumulativa de bariri - tjsp (g1);0;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0
01 cumulativa de barra bonita - tjsp (g1);0;0;0;1;1;0;0;0;0;0;0;11;0;42;0;0;1;2;0
01 cumulativa de bebedouro - tjsp (g1);0;0;0;0;1;1;0;0;0;1;0;15;0;3;0;0;1;3;0
01 cumulativa de bertioga - tjsp (g1);0;0;0;0;3;1;0;0;0;0;0;6;0;1;0;0;1;0;0
01 cumulativa de boituva - tjsp (g1);0;0;0;2;0;1;0;0;0;6;0;9;0;5;0;0;1;0;0
01 cumulativa de brotas - tjsp (g1);0;0;0;1;6;1;0;0;0;0;0;6;0;2;0;0;0;0;0
01 cumulativa de buritama - tjsp (g1);0;0;0;0;7;0;0;0;0;0;0;1;0;2;0;0;0;0;0
01 cumulativa de cachoeira paulista - tjsp (g1);0;0;0;0;5;0;0;0;0;0;0;8;0;4;0;0;0;0;0
01 cumulativa de caieiras - tjsp (g1);0;0;0;1;4;0;0;0;0;0;0;9;0;2;0;0;2;3;0
01 cumulativa de cajamar - tjsp (g1);0;0;0;3;3;1;0;0;0;3;0;8;0;7;0;0;0;0;0
01 cumulativa de campo limpo paulista - tjsp (g1);0;0;0;2;3;0;0;0;0;0;0;3;0;2;0;0;0;1;0
01 cumulativa de campos do jordao - tjsp (g1);0;0;0;9;5;0;0;0;0;1;0;7;1;1;0;0;0;2;0
01 cumulativa de candido mota - tjsp (g1);0;0;0;0;1;0;0;0;0;1;0;5;0;11;0;0;0;0;0
01 cumulativa de capao bonito - tjsp (g1);0;0;0;2;6;1;0;0;0;0;0;8;0;2;1;0;0;1;0
01 cumulativa de capivari - tjsp (g1);0;0;0;2;2;3;0;0;0;1;0;13;0;4;0;0;0;3;0
01 cumulativa de casa branca - tjsp (g1);0;0;0;0;4;0;0;0;0;1;0;6;0;32;0;0;0;2;0
01 cumulativa de cerqueira cesar - tjsp (g1);0;0;0;0;3;1;0;0;0;1;0;7;0;4;1;0;0;0;0
01 cumulativa de conchas - tjsp (g1);0;0;0;0;7;0;0;0;0;0;0;6;0;16;0;0;0;0;0
01 cumulativa de cravinhos - tjsp (g1);0;0;0;3;3;0;0;0;0;0;0;22;0;237;0;0;1;8;0
01 cumulativa de cubatao - tjsp (g1);0;0;0;0;7;0;0;0;0;0;0;10;0;5;0;0;1;0;0
01 cumulativa de descalvado - tjsp (g1);0;0;0;0;17;1;0;0;0;2;0;8;0;12;1;0;0;1;0
01 cumulativa de dois corregos - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
01 cumulativa de dracena - tjsp (g1);0;0;0;1;1;0;0;0;0;0;0;7;0;3;1;0;0;2;0
01 cumulativa de embu das artes - tjsp (g1);0;0;0;2;6;3;0;0;0;1;0;7;2;4;0;0;0;0;0
01 cumulativa de espirito santo do pinhal - tjsp (g1);0;0;0;2;1;1;0;0;0;0;0;12;0;6;0;0;1;2;0
01 cumulativa de estrela d oeste - tjsp (g1);0;0;0;1;3;0;0;0;0;0;0;8;0;12;1;0;1;2;0
01 cumulativa de ferraz de vasconcelos - tjsp (g1);0;0;0;2;24;0;0;0;0;0;0;1;0;0;0;0;0;0;0
01 cumulativa de francisco morato - tjsp (g1);0;0;0;2;3;2;0;0;0;2;0;8;0;0;0;0;0;6;0
01 cumulativa de garca - tjsp (g1);0;0;0;11;9;2;0;0;0;2;0;6;0;6;1;0;0;0;0
01 cumulativa de guaira - tjsp (g1);0;0;0;2;2;1;0;0;0;0;0;8;0;8;0;0;0;0;0
01 cumulativa de guara - tjsp (g1);0;0;0;0;5;2;0;0;0;0;0;9;0;1;1;0;0;2;0
01 cumulativa de guararapes - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
01 cumulativa de guaratingueta - tjsp (g1);0;0;0;1;4;0;0;0;0;0;0;2;0;1;0;0;0;0;0
01 cumulativa de guariba - tjsp (g1);0;0;0;0;3;1;0;0;0;0;2;8;0;10;0;0;1;1;0
01 cumulativa de hortolandia - tjsp (g1);0;36;0;2;8;1;0;2;0;1;0;15;0;10;0;0;1;0;0
01 cumulativa de ibiuna - tjsp (g1);0;0;0;4;0;0;0;0;0;1;0;7;0;1;1;0;2;0;0
01 cumulativa de igarapava - tjsp (g1);0;0;0;4;2;1;1;0;0;2;0;10;0;202;1;0;0;1;0
01 cumulativa de iguape - tjsp (g1);0;0;0;0;6;1;0;0;0;0;0;11;2;3;0;0;0;0;0
01 cumulativa de ilha solteira - tjsp (g1);0;0;0;0;2;0;0;0;0;0;0;4;0;1;0;0;0;0;0
01 cumulativa de itanhaem - tjsp (g1);0;0;0;4;3;0;0;0;0;0;0;2;0;2;2;0;0;0;0
01 cumulativa de itapecerica da serra - tjsp (g1);0;0;0;2;12;2;0;0;0;1;0;23;0;1;0;0;0;0;0
01 cumulativa de itapeva - tjsp (g1);0;0;0;3;13;1;0;0;0;0;0;3;0;6;3;0;2;5;0
01 cumulativa de itapira - tjsp (g1);0;0;0;46;4;2;0;0;0;3;0;67;0;3;2;0;3;0;0
01 cumulativa de itapolis - tjsp (g1);0;0;0;2;1;1;0;0;0;2;0;16;0;5;0;0;0;0;0
01 cumulativa de itarare - tjsp (g1);0;0;0;1;6;0;1;0;0;0;0;19;0;450;1;0;0;0;0
01 cumulativa de itirapina - tjsp (g1);0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
01 cumulativa de ituverava - tjsp (g1);0;0;0;2;5;3;0;0;0;2;0;16;0;1;1;0;1;4;0
01 cumulativa de jaboticabal - tjsp (g1);0;0;0;3;29;1;0;0;0;1;0;0;0;0;0;0;0;0;0
01 cumulativa de jacupiranga - tjsp (g1);0;0;0;1;5;0;0;0;0;0;0;8;0;2;0;0;0;0;0
01 cumulativa de jaguariuna - tjsp (g1);0;0;0;0;5;0;1;0;0;0;0;9;2;3;0;0;1;1;0
01 cumulativa de jales - tjsp (g1);0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
01 cumulativa de jandira - tjsp (g1);0;0;0;6;2;1;0;0;0;2;0;13;0;2;1;0;1;0;1
01 cumulativa de jardinopolis - tjsp (g1);0;0;0;0;0;2;0;0;0;2;0;6;0;2;0;0;0;2;0
01 cumulativa de jose bonifacio - tjsp (g1);0;0;0;2;4;0;0;0;0;0;0;16;1;1;1;0;0;0;0
01 cumulativa de laranjal paulista - tjsp (g1);0;0;0;0;0;0;0;0;0;1;0;11;0;0;1;0;0;0;0
01 cumulativa de lencois paulista - tjsp (g1);0;0;0;1;4;1;0;0;0;0;0;9;0;0;0;0;0;0;0
01 cumulativa de lucelia - tjsp (g1);0;0;0;0;4;4;0;0;0;4;0;6;0;526;0;0;0;0;0
01 cumulativa de mairinque - tjsp (g1);0;0;0;4;3;1;0;0;0;0;0;7;0;2;0;0;1;0;0
